,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ALMENDRAS (IMPORTADAS) *,,,,,,2026-03-31,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
MA├ìZ FRITO Y SALADO ORIGINAL X 5KG,1 BOLSA x 5KG,,"$ 9.262,33","$ 46.311,67",,"$ 10.466,44","$ 52.332,19"
MAN├ì CON SAL X 5KG,1 BOLSA x 5KG,,"$ 2.890,05","$ 14.450,24",,"$ 3.265,75","$ 16.328,77"
MAN├ì SIN SAL X 5KG,1 BOLSA x 5KG,,"$ 2.898,11","$ 14.490,56",,"$ 3.274,87","$ 16.374,33"
MIX DE FRUTOS SECOS (SIN T.A.C.C.) - CAJA 9 KG,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,UNIDAD,BULTO,,UNIDAD,BULTO
MIX PREMIUM X 9 KG,10 BOLSAS X 900 GR,,"$ 20.984,19","$ 209.841,86",,"$ 25.304,46","$ 253.044,60"
MIX FRUTOS SECOS S/ MAN├ì X 9 KG,10 BOLSAS X 900 GR,,"$ 13.348,08","$ 133.480,77",,"$ 16.096,21","$ 160.962,10"
MIX CARIBE SIN MANI X 9 KG,10 BOLSAS X 900 GR,,"$ 12.317,83","$ 123.178,35",,"$ 14.853,86","$ 148.538,59"
HAPPY MIX X 9 KG (CON VAC├ìO),10 BOLSAS X 900 GR,,"$ 9.244,97","$ 92.449,70",,"$ 11.148,35","$ 111.483,47"
MIX SALADO X 9 KG (CON VAC├ìO),10 BOLSAS X 900 GR,,"$ 7.761,74","$ 77.617,38",,"$ 9.359,74","$ 93.597,42"
MIX ENERG├ëTICO X 9 KG,10 BOLSAS X 900 GR,,"$ 8.421,98","$ 84.219,81",,"$ 10.155,92","$ 101.559,18"
"MIX DE FRUTOS SECOS (SIN T.A.C.C.) - CAJA 9,6 KG",,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,UNIDAD,BULTO,,UNIDAD,BULTO
"MIX PREMIUM X 9,6 KG",24 BOLSAS x 400 GR,,"$ 9.960,92","$ 239.062,18",,"$11,217.00","$ 288.280,87"
"MIX FRUTOS SECOS S/ MAN├ì X 9,6 KG",24 BOLSAS x 400 GR,,"$ 6.441,40","$ 154.593,61",,"$7,768.00","$ 186.421,71"
"MIX CARIBE SIN MANI X 9,6 KG",24 BOLSAS x 400 GR,,"$ 5.966,56","$ 143.197,36",,"$7,195.00","$ 172.679,16"
"HAPPY MIX X 9,6 KG (CON VAC├ìO)",24 BOLSAS x 400 GR,,"$ 4.550,26","$ 109.206,17",,"$5,487.00","$ 131.689,79"
"MIX SALADO X 9,6 KG (CON VAC├ìO)",24 BOLSAS x 400 GR,,"$ 3.866,63","$ 92.799,05",,"$4,663.00","$ 111.904,73"
"MIX ENERG├ëTICO X 9,6 KG",24 BOLSAS x 400 GR,,"$ 4.170,94","$ 100.102,48",,"$5,030.00","$ 120.711,81"
MIX DE FRUTOS SECOS (SIN T.A.C.C.) - POR 1KG,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
MIX PREMIUM X 1 KG,1 BOLSA x 1KG,,"$ 27.742,48","$ 27.742,48",,"$33,454.00","$ 33.454,17"
